number_of_reviews,price_range,ratingValue,name,address
1078,$31-60,3.5,Arcadia,100 W San Carlos St San Jose CA 95113
27,$11-30,4.0,East Street Tacos,124 Castro St Mountain View CA 94041
402,$11-30,4.0,Gojo Ethiopian Restaurant,1261 W San Carlos St San Jose CA 95126
78,$11-30,4.0,New Leaf Bistro,2342 California Ave SW Seattle WA 98116
455,$11-30,4.5,Pestle Rock,2305 NW Market St Seattle WA 98107
247,Under $10,4.0,Hawaiian Drive Inn,1095 Tully Rd San Jose CA 95122
576,$11-30,4.0,Mamnoon,1508 Melrose Ave Seattle WA 98122
44,$11-30,4.0,The 100 Pound Clam,1001 Fairview Ave N Seattle WA 98109
888,$11-30,3.5,Ba Bar,550 12th Ave Seattle WA 98122
127,Under $10,4.5,Mo & Lu Pasta,12518 Lake City Way NE Seattle WA 98125
113,$11-30,4.0,BRGR Bar Seattle,111 Occidental Ave S Seattle WA 98104
660,$11-30,4.0,Kona Kitchen,8501 5th Ave NE Seattle WA 98115
251,$11-30,4.0,Geido,331 Flatbush Ave Brooklyn NY 11217
157,$11-30,4.0,Ha!,4256 Fremont Ave N Seattle WA 98103
22,Above $61,5.0,Aska,47 S 5th St Brooklyn NY 11249
34,$11-30,4.0,Maison Pickle,2313 Broadway New York NY 10024
1116,Under $10,4.5,JoJu,83-25 Broadway Elmhurst NY 11373
253,$11-30,4.0,Dim Sum Palace,334 W 46th St New York NY 10036
512,$11-30,4.0,Reserve a Table,173 Mott St New York NY 10013
336,$11-30,4.0,The Good Fork,391 Van Brunt Street Brooklyn NY 11231
637,$11-30,4.0,Tango Restaurant & Lounge,1100 Pike St Seattle WA 98101
45,Under $10,5.0,Petit Pierre Bakery,3204 W Mcgraw St Seattle WA 98199
551,$11-30,4.0,Cactus Restaurants,2820 Alki Ave SW Seattle WA 98116
225,$11-30,4.0,Casco Antiguo,115 Occidental Ave S Seattle WA 98104
189,$11-30,4.0,Hilltop Ale House,2129 Queen Anne Ave N Seattle WA 98109
441,$11-30,4.0,Mojito,7545 Lake City Way NE Seattle WA 98115
63,$11-30,4.0,Tuk Tuk Thai Kitchen,1625 W Dravus St Seattle WA 98119
419,$11-30,4.0,Zocalo Café,1110 W Lynn St Austin TX 78703
862,$11-30,4.0,Momiji,1522 12th Ave Seattle WA 98122
438,$11-30,4.5,Santorini Cafe,11800 N Lamar Blvd Austin TX 78753
5,Above $61,5.0,De La Terre Supper Club,306 E 53rd Austin TX 78751
168,$11-30,4.0,Mongers Market + Kitchen,2401 E Cesar Chavez Austin TX 78702
81,$11-30,4.0,Portobello Mediterranean & Brazilian Grill,2113 Wells Branch Pkwy Austin TX 78728
2561,$11-30,4.0,The Pink Door,1919 Post Aly Seattle WA 98101
741,Under $10,4.0,The Jackalope,404 E 6th St Austin TX 78701
52,$11-30,4.0,Marker 10,208 Barton Springs Rd Austin TX 78704
126,$11-30,4.0,Lavaca Teppan,1712 Lavaca St Austin TX 78701
637,$11-30,4.0,Black Star Co-op Pub & Brewery,7020 Easy Wind Dr Austin TX 78752
9,Under $10,4.5,Sajj Mediterranean,123 South Frances St Sunnyvale CA 94086
1002,$11-30,4.0,Tomi Sushi,4336 Moorpark Ave San Jose CA 95129
25,Under $10,5.0,Red Wraps,1208 Chicon St Austin TX 78702
352,Under $10,4.0,Golden House Chinese Restaurant,7108 Santa Teresa Blvd San Jose CA 95139
160,$11-30,4.0,Great Wall Chinese Restaurant,1409 Bird Ave San Jose CA 95125
58,Under $10,4.0,Tandoori Grill,225 E Santa Clara St San Jose CA 95112
4,$11-30,5.0,Poke Xpress,1236 S Abel St Milpitas CA 95035
361,$11-30,4.0,SGD Tofu House,832 Blossom Hill Rd San Jose CA 95123
481,Under $10,4.0,LK Tea & Grill,2780 Aborn Rd San Jose CA 95121
1290,$31-60,3.5,Salty’s - Alki Beach,1936 Harbor Ave SW Seattle WA 98126
81,Above $61,4.5,Reserve a Table,2400 NE 65th St Seattle WA 98115
122,$11-30,4.0,The Zouave Restaurant,2615 NE 65th St Seattle WA 98115
219,$11-30,4.5,Mashawi Mediterranean Cuisine,366 Roy St Seattle WA 98109
602,$11-30,4.0,Buddha Ruksa,3520 SW Genesee St Seattle WA 98126
119,$11-30,4.0,Reserve a Table,314 2nd Ave S Seattle WA 98104
543,$11-30,4.0,Pike Place Chowder,600 Pine St Seattle WA 98101
52,$11-30,4.0,Little Uncle,1523 E Madison St Seattle WA 98122
564,$11-30,4.0,Island Soul Restaurant,4869 Rainier Ave S Seattle WA 98118
1520,$11-30,4.0,Cookshop,156 10th Ave New York NY 10011
149,$11-30,4.0,Hollow Nickel,494 Atlantic Ave Brooklyn NY 11217
36,$11-30,4.0,Fob Brooklyn,271 Smith St Brooklyn NY 11231
65,$11-30,5.0,Lilly’s Craft and Kitchen,675 9th Ave New York NY 10036
58,$11-30,4.5,Tygershark,581 Vanderbilt Ave Brooklyn NY 11238
26,$11-30,4.0,Kome Waza,40 Water St New York NY 10004
52,$11-30,4.5,Reserve a Table,37-12 31st Ave Astoria NY 11103
36,Under $10,4.5,Brooklyn Banh Mi,557 Lorimer St Brooklyn NY 11211
219,$11-30,4.0,Alcomar,1816 S 1st St Austin TX 78704
47,Under $10,4.5,Local Slice Pizza,8201 Cross Park Austin TX 78754
209,$11-30,3.5,Javelina,69 Rainey St Austin TX 78701
397,Above $61,4.0,Hudson’s On the Bend,3509 Ranch Rd 620 N Austin TX 78734
88,Under $10,4.5,Saigon Cafe,5000 Hudson Bend Rd Austin TX 78734
29,Under $10,4.5,Casa Vallarta,6002 Burleson Rd Austin TX 78744
358,Under $10,4.0,Chicken Lollypop,1005 E Braker Ln Austin TX 78753
532,$11-30,3.5,The Salt Lick,Austin-Bergstrom International Airport Austin TX 78719
133,Under $10,4.0,Chen Z,6705 W Hwy 290 Austin TX 78735
8,$11-30,5.0,Eastern BBQ,3170 De La Cruz Blvd Santa Clara CA 95054
20,$11-30,4.0,G Bar and Bistro,6711 E Ben White Blvd Austin TX 78744
39,Under $10,4.5,DiLac Vegetarian Cuisine,2850 Quimby Rd San Jose CA 95148
665,$11-30,4.0,Minato Japanese Restaurant,617 N 6th St San Jose CA 95112
421,Under $10,4.0,Caffe Frascati,315 S 1st St San Jose CA 95113
1943,Under $10,3.5,Pho Kim Long Restaurant,2082 N Capitol Ave San Jose CA 95132
1762,$11-30,3.0,Sino - Santana Row,377 Santana Row San Jose CA 95128
44,$11-30,4.0,Huong Restaurant,2847 S White Rd San Jose CA 95148
39,Under $10,4.5,The Rusty Mule,9201 Hwy 290 Austin TX 78736
24,Under $10,4.0,Hechaa,10619 South De Anza Blvd Cupertino CA 95014
244,$11-30,4.5,Caspian Grill,12518 Research Blvd Austin TX 78759
10,Under $10,5.0,The Grub House,7th and Red River St Austin TX 78701
837,$11-30,4.5,Turf N Surf Po’ Boy,407 Lavaca St Austin TX 78701
334,$31-60,4.0,Jacoby’s Restaurant & Mercantile,3235 E Cesar Chavez St Austin TX 78702
1422,Under $10,4.5,Bouldin Creek Cafe,1900 S 1st St Austin TX 78704
179,$31-60,3.5,Bullfight,4807 Airport Blvd Austin TX 78751
3469,$11-30,4.0,The Boiling Crab,1631 E Capitol Expy San Jose CA 95121
33,$11-30,5.0,Cannone Cucina Italiana,1720 Barton Springs Rd Austin TX 78704
8388,$11-30,4.0,Ippudo East Village,65 4th Ave New York NY 10003
887,Above $61,4.0,El Gaucho,2505 1st Ave Seattle WA 98121
27,$11-30,4.5,Habitant,Nordstrom Seattle WA 98101
703,$11-30,4.5,Fogón Cocina Mexicana,600 E Pine St Seattle WA 98122
224,$11-30,4.0,Ten Mercer,10 Mercer St Seattle WA 98109
163,$31-60,4.0,Girin,501 Stadium Pl S Seattle WA 98104
438,Under $10,4.5,Bongos,6501 Aurora Ave N Seattle WA 98103
684,$11-30,4.0,Reserve a Table,1225 1st Ave Seattle WA 98101
170,$11-30,4.5,BlueStone,1631 E Olive Way Seattle WA 98102
295,$11-30,4.0,Reserve a Table,1913 N 45th St Seattle WA 98103
70,$11-30,4.5,The Whales,71 Clinton St New York NY 10002
669,$11-30,4.0,Smith,332 15th Ave E Seattle WA 98112
44,$11-30,4.5,Bornholm,138 Smith St Brooklyn NY 11201
15,Above $61,4.5,Boutros,185 Atlantic Ave Brooklyn NY 11201
49,$11-30,4.5,La Loba Cantina,709 Church Ave Brooklyn NY 11218
78,$11-30,4.5,Ampersand,294 3rd Ave New York NY 10010
880,$11-30,4.0,Coppelia,207 W 14th St New York NY 10011
181,$11-30,4.0,Tchoup Shop,50 Wyckoff Ave Brooklyn NY 11237
55,$11-30,4.5,Father Knows Best,611A Wilson Ave Brooklyn NY 11207
10,Under $10,5.0,Tarasco Taqueria,1101 N Lawrence Expy Sunnyvale CA 94089
27,$11-30,4.5,RDV Rendezvous,2072 Frederick Douglass Blvd New York NY 10026
392,$11-30,4.0,Hunan Taste Restaurant,998 N 4th St San Jose CA 95112
340,$11-30,4.0,Izakaya NoMad,13 W 26th St New York NY 10010
213,$11-30,3.5,La Pastaia,233 W Santa Clara St San Jose CA 95113
36,$11-30,4.5,Firehouse Subs,5130 Cherry Ave San Jose CA 95118
73,$11-30,3.0,Sachiko Ramen,1698 Hostetter Rd San Jose CA 95131
7,$11-30,4.5,Spicy Way,42 Dixon Rd Milpitas CA 95035
922,$11-30,4.5,Walia Ethiopian Cuisine,2208 Business Cir San Jose CA 95128
80,$11-30,4.5,SJ Crawfish,393 N Capitol Ave San Jose CA 95133
488,$11-30,4.0,El Alma,1025 Barton Springs Rd Austin TX 78704
104,$31-60,4.0,Reserve a Table,1305 E Jefferson St Seattle WA 98122
149,$11-30,4.0,The Sixgill,3417 Evanston Ave N Seattle WA 98103
45,$11-30,4.5,Luna Azul,8552 Greenwood Ave N Seattle WA 98103
339,$11-30,4.0,Taylor Shellfish Oyster Bar,124 Republican St Seattle WA 98109
35,$11-30,5.0,Emma’s BBQ,5303 Rainier Ave S Seattle WA 98118
1051,$31-60,4.0,EN Japanese Brasserie,435 Hudson St New York NY 10014
28,$11-30,4.5,sandobe,918 Broadway Brooklyn NY 11206
50,$11-30,4.5,Thai Diva Cuisine,45-53 46th St. Woodside NY 11377
1493,$11-30,4.0,Nyonya,199 Grand St New York NY 10013
44,$11-30,4.5,Taste of Ethiopia,3801 S Congress Ave Austin TX 78704
32,$11-30,4.5,Jewboy Burgers,5020 Burnet Rd Austin TX 78756
710,$31-60,4.0,Perry’s Steakhouse & Grille - Downtown Austin,114 West 7th St Austin TX 78701
372,$31-60,4.0,Assaggio Ristorante,2010 4th Ave Seattle WA 98121
53,$11-30,4.0,Alicia Fusion Bistro,200 Lake Washington Blvd Seattle WA 98122
491,$11-30,4.0,The Cellar,900 Broadway New York NY 10003
8,Under $10,5.0,dot & line,253 Bergen St Brooklyn NY 11217
255,$11-30,4.0,AlMar,111 Front St Brooklyn NY 11201
499,$11-30,4.0,Tuk Tuk,4906 Vernon Blvd Long Island City NY 11101
34,Under $10,5.0,Kafe Louverture,392 Halsey St Brooklyn NY 11216
12,$31-60,4.0,Taberna 97,97 St Marks Pl New York NY 10009
95,$11-30,4.0,Leyenda,221 Smith St Brooklyn NY 11201
39,$11-30,5.0,Vite Bar,2507 Broadway Astoria NY 11106
172,$11-30,4.0,Little Mo,1158 Myrtle Ave Brooklyn NY 11221
386,$11-30,4.0,Walter’s,166 DeKalb Ave Brooklyn NY 11217
6,,4.5,Black Walnut,140 Schermerhorn St Brooklyn NY 11201
543,$11-30,4.0,Pellegrino’s Italian Restaurant,138 Mulberry St New York NY 10013
589,$11-30,4.0,Clover Club,210 Smith St Brooklyn NY 11201
100,$11-30,4.0,Two Hands Restaurant & Bar,251 Church St New York NY 10013
84,$31-60,4.5,Volare Restaurant,147 W 4th St Frnt New York NY 10012
334,$11-30,4.5,Kitchen 79,37-70 79th St Jackson Heights NY 11372
268,$11-30,4.0,Wok Wok,11 Mott St New York NY 10013
64,$11-30,4.0,Bar Melusine,1060 E Union St Seattle WA 98122
626,$11-30,4.0,Momosan Ramen & Sake,342 Lexington Ave New York NY 10016
1092,Under $10,4.0,Tasty Hand-Pulled Noodles,1 Doyers St New York NY 10013
41,$11-30,3.5,Poké Green,164 Pearl St New York NY 10005
30,$11-30,4.0,The Rhododendron Cafe,1006 Spring St Seattle WA 98104
1335,$11-30,4.0,Skillet Capitol Hill,1400 E Union St Seattle WA 98122
164,$11-30,4.0,Queen Anne Beerhall,203 W Thomas St Seattle WA 98119
28,$11-30,4.5,Harry’s Fine Foods,601 Bellevue Ave E Seattle WA 98102
204,$11-30,4.0,Via Tribunali,317 W Galer St Seattle WA 98119
203,$11-30,4.5,Gorgeous George’s Mediterranean Kitchen,7719 Greenwood Ave N Seattle WA 98103
9,Under $10,4.5,Freshii,1200 Barbara Jordan Blvd Austin TX 78723
286,$11-30,4.0,Vito’s,927 9th Ave Seattle WA 98104
71,Under $10,4.5,Phorale,8909 14th Ave S Seattle WA 98108
6,,4.5,Cold Cookie Co,2512 Rio Grande St Austin TX 78705
376,Under $10,4.0,Chi’Lantro,1509 S Lamar Blvd Austin TX 78704
557,$11-30,4.0,Lucky Robot,1303 S Congress Austin TX 78704
1639,$11-30,4.0,Frank,407 Colorado St Austin TX 78701
312,$11-30,4.5,Patrizi’s,2307 Manor Rd Austin TX 78722
28,Under $10,4.5,BOCA,90 Rainey St Austin TX 78701
125,$11-30,4.0,Azul Tequila,3815 Dry Creek Dr Austin TX 78731
59,$11-30,3.5,Tasty Pot,1183 S De Anza Blvd San Jose CA 95129
50,$11-30,4.0,Galaxy Cafe,8127 Mesa Dr Austin TX 78759
423,$11-30,4.0,55 South,55 S 1st St San Jose CA 95113
33,$11-30,3.5,SoFA Market,387 S First St San Jose CA 95113
38,$11-30,4.0,Honey’s Restaurant,2064 Curtner Ave San Jose CA 95124
199,$11-30,4.0,Pho Spot,1769 Blossom Hill Rd San Jose CA 95124
383,$11-30,3.5,Ramen Tenma,487 Saratoga Ave San Jose CA 95129
943,$11-30,4.0,Sam’s Bar-B-Que,1110 S Bascom Ave San Jose CA 95128
491,$11-30,3.5,Izakaya Restaurant,1335 N 1st St San Jose CA 95112
246,$11-30,4.0,Reserve a Table,969 Story Rd San Jose CA 95122
1316,$11-30,4.0,Zeni Ethiopian Restaurant,1320 Saratoga Ave San Jose CA 95129
12,,4.5,Fazio’s,709 Knickerbocker Ave Brooklyn NY 11221
112,$11-30,4.0,Brasserie Séoul,300 Schermerhorn St Brooklyn NY 11217
149,$11-30,4.0,Barbalu Restaurant,225-227 Front St New York NY 10038
218,$11-30,4.0,Reserve a Table,214 Front St New York NY 10038
744,$11-30,4.0,Peaches HotHouse,415 Tompkins Ave Brooklyn NY 11221
73,$11-30,4.0,VBar Seaport,212 Front St New York NY 10038
1405,$11-30,4.0,Trattoria Trecolori,254 W 47th St New York NY 10036
15,$31-60,4.0,Tavo,615 Hudson St New York NY 10014
37,$11-30,4.5,Rider,80 N 6th St Brooklyn NY 11249
458,Under $10,4.0,Bedouin Tent Restaurant,405 Atlantic Ave Brooklyn NY 11217
295,Under $10,4.0,Biscuit Bitch,2303 3rd Ave Seattle WA 98121
487,Under $10,4.0,U:Don,4515 University Way NE Seattle WA 98105
219,$11-30,4.0,Super Six,3714 S Hudson St Seattle WA 98118
274,$11-30,4.0,Gourmet Noodle Bowl,707 8th Ave S Seattle WA 98104
74,$11-30,4.0,Ironsteak,628 S Weller St Seattle WA 98104
67,$11-30,4.5,MiiR,3400 Stone Way N Seattle WA 98103
80,$11-30,4.5,Russell’s,4111 Stone Way N Seattle WA 98103
780,Under $10,4.5,Daily Dozen Doughnut,93 Pike St Seattle WA 98101
349,$31-60,4.0,Clark’s Oyster Bar,1200 W 6th St Austin TX 78703
115,$11-30,3.5,Las Palomas Restaurant & Bar,3201 Bee Cave Rd Austin TX 78746
32,Under $10,4.0,K-Bop,2002 Guadalupe St Austin TX 78705
175,$11-30,4.0,Sunfish,2800 Alki Ave SW Seattle WA 98116
624,$11-30,4.5,Pieous,12005 Hwy 290 W Austin TX 78737
1627,$11-30,4.0,Ramen Tatsu-Ya,8557 Research Blvd Austin TX 78758
375,$11-30,4.5,Via 313 Pizza,6705 US 290 W Austin TX 78735
161,Under $10,4.0,Southern Hospitality,6700 Middle Fiskville Rd Austin TX 78752
116,$31-60,4.0,Lonesome Dove Western Bistro,419 Colorado St Austin TX 78701
2074,$11-30,4.0,Mizu Sushi Bar & Grill,1035 S Winchester Blvd San Jose CA 95128
553,$11-30,4.0,Konjoe Burger Bar,100 N Almaden Ave San Jose CA 95110
153,Under $10,4.0,Jenny’s Kitchen,5175 Moorpark Ave San Jose CA 95129
271,$11-30,4.0,El Maestro,1057 Blossom Hill Rd San Jose CA 95123
321,$11-30,4.0,Boda Chinese Vietnamese Resto,2868 Story Rd San Jose CA 95127
205,$11-30,4.0,Yummy Tofu and BBQ,1310 Saratoga Ave San Jose CA 95129
402,$11-30,4.0,Mayfield,688 Franklin Ave Brooklyn NY 11238
43,Under $10,4.5,Loroco Salvadorian,2180 Monterey Hwy San Jose CA 95112
273,Under $10,4.5,International Food Bazaar,2052 Curtner Ave San Jose CA 95124
378,$31-60,4.0,Convivium Osteria,68 5th Ave Brooklyn NY 11217
98,$11-30,4.0,Orchestria Palm Court,27 E William St San Jose CA 95112
1249,$31-60,3.5,LB Steak Santana Row,334 Santana Row San Jose CA 95128
1039,$11-30,4.5,Il Bambino,34-08 31st Ave Astoria NY 11106
10,$11-30,5.0,99 Bank,99 Bank St New York NY 10014
229,$11-30,4.0,Smith and Mills,71 N Moore St New York NY 10013
744,Under $10,4.0,Thien Long Vietnamese Restaurant,3005 Silver Creek Rd San Jose CA 95121
294,$11-30,4.0,Mudai Ethiopian Restaurant,503 W San Carlos St San Jose CA 95126
98,$11-30,4.5,The Beast Next Door,42-51 27th St Long Island City NY 11101
148,Under $10,4.5,My Chè,5663 Snell Ave San Jose CA 95123
251,$11-30,3.0,Inchin’s Bamboo Garden,55 River Oaks Pl San Jose CA 95134
1577,$11-30,3.5,Crawdaddy,779 Story Rd San Jose CA 95122
29,$11-30,4.5,JINYA Ramen Bar,925 Blossom Hill Rd San Jose CA 95123
208,$11-30,4.0,Vyne Bistro,110 Paseo De San Antonio San Jose CA 95112
24,$11-30,4.5,La Bodega Gourmet,11500 Bee Cave Rd Austin TX 78738
316,$11-30,4.5,Mavericks Mexican Grill,1111 Meridian Ave San Jose CA 95125
55,Under $10,5.0,Pita Fusion,13776 Us Hwy 183 Austin TX 78750
327,$31-60,4.5,Truluck’s,10225 Research Blvd Austin TX 78759
1559,$11-30,3.0,Original Joe’s,301 S 1st St San Jose CA 95113
10,$11-30,4.0,Sala Thai 3,47894 Warm Springs Blvd Fremont CA 94539
73,$11-30,3.5,Boiler Nine,800 W Cesar Chavez St Austin TX 78701
404,Under $10,4.5,SLAB BBQ & Beer,9012 Research Blvd Austin TX 78758
423,$11-30,4.0,Barlata Tapas Bar,1500 S Lamar Blvd Austin TX 78704
94,Under $10,4.5,Twin Panda,9231 W Parmer Ln Austin TX 78729
249,$31-60,4.0,Olamaie,1610 San Antonio St Austin TX 78701
823,$11-30,4.0,Gourdough’s Public House,2700 S Lamar Blvd Austin TX 78704
1060,$11-30,4.0,Blue Dahlia Bistro,1115 E 11th St Austin TX 78702
111,Under $10,4.0,Bibimbap,95 Marion St Seattle WA 98104
1262,$31-60,4.0,Dahlia Lounge,2001 4th Ave Seattle WA 98121
537,$11-30,4.0,Fonda La Catrina,5905 Airport Way S Seattle WA 98108
67,$11-30,4.0,Bar Cantinetta,2811 E Madison St Seattle WA 98112
127,Above $61,4.0,The Corson Building,5609 Corson Ave S Seattle WA 98108
571,$31-60,4.0,Serafina,2043 Eastlake Ave E Seattle WA 98102
270,Under $10,4.5,Pop Pop Thai Street Food,13242 Aurora Ave N Seattle WA 98133
32,$11-30,4.5,Panwa Thai,812 12th Ave Seattle WA 98122
1437,$11-30,4.0,Reserve a Table,4130 Roosevelt Way NE Seattle WA 98105
93,$11-30,4.0,Bistro Turkuaz,1114 34th Ave Seattle WA 98122
288,$31-60,4.0,La Rustica,4100 Beach Dr SW Seattle WA 98116
217,Under $10,4.0,Blue Water Taco Grill,515 Queen Anne Ave N Seattle WA 98109
351,$11-30,4.0,Tup Tim Thai,118 W Mercer St Seattle WA 98119
266,$11-30,4.0,Kokoras Greek Grill,6400 California Ave SW Seattle WA 98136
8,Under $10,5.0,The Grip Coffee,5000 Burnet Rd Austin TX 78756
265,$11-30,4.5,Taylor Shellfish Oyster Bar,410 Occidental Ave S Seattle WA 98104
98,$11-30,4.0,Kerbey Lane Cafe Westlake,701 S Capital Of Texas Hwy Austin TX 78746
235,Under $10,4.0,Chi’Lantro,5222 Burnet Rd Austin TX 78756
73,Under $10,4.5,Taco Baby,96 Rainey St Austin TX 78701
23,$11-30,5.0,It’s Italian Market & Cafe,2025 E 7th St Austin TX 78702
263,$11-30,4.0,Driskill Bar,604 Brazos St Austin TX 78701
288,$11-30,4.5,Almarah Mediterranean Cuisine,12129 Ranch Rd 620 N Austin TX 78750
764,$11-30,4.0,Ramen Tatsu-Ya,1234 S Lamar Blvd Austin TX 78704
331,Under $10,4.0,The Buzz Mill,1505 Town Creek Dr Austin TX 78741
26,Under $10,4.5,Xiang Yun Tea Room,6720 N Capital Of Texas Hwy Austin TX 78731
38,$11-30,4.0,College RoadHouse,9515 N Lamar Blvd Austin TX 78753
355,Under $10,4.0,China Chen,400 S 3rd St San Jose CA 95112
84,$11-30,3.5,Cinque Terre Ristorante,2001 Westlake Ave Seattle WA 98121
121,Under $10,4.0,Gabi’s Petite Baguette,5685 Cottle Rd San Jose CA 95123
842,$11-30,4.0,Cafe Flora,2901 E Madison St Seattle WA 98112
163,Under $10,4.5,Don Japanese Food Truck,411 W 23rd St Austin TX 78705
36,Under $10,4.0,Grace Deli & Cafe,303 Almaden Blvd San Jose CA 95110
176,$11-30,3.5,Hunan Impression,5152 Moorpark Ave San Jose CA 95129
143,$11-30,4.5,Adoro Lei,287 Hudson St New York NY 10013
364,$11-30,4.0,Kotobuki Manhattan,56 3rd Ave New York NY 10003
109,Under $10,4.5,Tigerly Ox - Vietnamese Eatery,4405 Wallingford Ave N Seattle WA 98103
109,$11-30,4.0,Il Forte,800 Brazos St 215 Austin TX 78701
320,$11-30,4.0,East Side King,2310 S Lamar Blvd Austin TX 78704
358,$11-30,4.0,Tiny’s & the Bar Upstairs,135 W Broadway New York NY 10013
521,$11-30,3.5,Big T’s Seafood Market Bar,1694 Tully Rd San Jose CA 95122
250,$11-30,4.0,Frank’s Oyster House & Champagne Parlor,2616 NE 55th St Seattle WA 98105
165,$11-30,4.0,Reserve a Table,367 3rd Ave New York NY 10016
147,$11-30,4.0,Ephesus Restaurant,5245 California Ave SW Seattle WA 98136
993,$11-30,4.0,Extra Virgin,259 W 4th St New York NY 10014
20,$11-30,4.5,Doner Kebab Nyc,34 Willoughby St Brooklyn NY 11201
51,$11-30,4.5,Chang Noi Thai,100 Stuyvesant Pl Staten Island NY 10301
56,$11-30,4.5,NISI,302 Bleecker St New York NY 10014
69,$11-30,4.5,Zio Luigi,42-15 Queens Blvd Sunnyside NY 11104
73,$11-30,4.0,New Style Hand Pulled Noodles,23 Pell St New York NY 10013
926,$11-30,4.0,The Farm On Adderley,1108 Cortelyou Rd Brooklyn NY 11218
320,$31-60,4.5,Il Terrazzo Carmine,411 1st Ave S Seattle WA 98104
483,$31-60,4.5,The Harvest Vine,2701 E Madison St Seattle WA 98112
22,$11-30,4.5,Oliver’s Twist,3217 W McGraw St Seattle WA 98199
3,,5.0,Matzahbrei,50 W 40th St New York NY 10018
1186,$11-30,3.5,Wild Ginger,1401 3rd Ave Seattle WA 98101
16,$11-30,4.5,Freshy’s,1099 Stewart St Seattle WA 98101
150,Under $10,4.5,Huong Duong,7136 Martin Luther King Jr Way S Seattle WA 98118
105,$11-30,3.5,St. Genevieve,11500 Rock Rose Ave Austin TX 78758
3,,5.0,Krab Kingz,1197 Hargrave St Austin TX 78702
1134,$11-30,4.0,Reserve a Table,2311 2nd Ave Seattle WA 98121
247,Under $10,4.5,The Halal Corner,1200 Barbara Jordan Austin TX 78723
189,$11-30,4.5,Mykonos Greek Grill,310 NE 72nd St Seattle WA 98115
903,$11-30,4.0,Kome Sushi Kitchen,4917 Airport Blvd Austin TX 78751
205,Under $10,4.5,Crepe Crazy,3103 S. Lamar Blvd Austin TX 78704
41,$11-30,4.0,Vino Volo,Austin Airport Austin TX 78617
9,Under $10,5.0,Barley Bean,1500 Spyglass Dr Austin TX 78746
93,$11-30,4.0,Cafe Bistro,Nordstrom Austin TX 78746
56,Under $10,4.0,Bee Bee House,1030 Piedmont Rd San Jose CA 95132
115,$11-30,4.0,Toss Pizzeria & Pub,2901 S 1st St Austin TX 78704
615,$11-30,4.0,Tee Nee Thai Cuisine,1423 The Alameda San Jose CA 95126
527,Under $10,4.0,Thai Lovers,1111 Story Rd San Jose CA 95122
10,$11-30,3.0,Crab Monkey,840 N 1st St San Jose CA 95112
1183,$11-30,3.0,Reserve a Table,378 Santana Row San Jose CA 95128
655,$31-60,3.5,Dry Creek Grill,1580 Hamilton Ave San Jose CA 95125
647,Under $10,4.0,Nam Vang Restaurant,2477 Alvin Ave San Jose CA 95121
215,Under $10,4.0,Tugboat Fish and Chips,658 Blossom Hill Rd San Jose CA 95123
24,Under $10,4.5,Imperio Taqueria,Delmas Market San Jose CA 95110
224,$11-30,4.0,Old School Bar & Grill,401 E 6th St Austin TX 78701
9,$11-30,4.0,Lucy’s On The Fly,2043 South Lamar Blvd Austin TX 78704
145,$11-30,4.5,Phoenician Resto Cafe,84 N Interstate 35 Frontage Rd Austin TX 78701
128,$11-30,3.5,Bombay Grill Indian Restaurant,3201 Bee Caves Rd Austin TX 78746
91,Under $10,4.0,Donn’s BBQ,10003 Fm 969 Austin TX 78724
1090,$11-30,4.0,Clay Pit,1601 Guadalupe St Austin TX 78701
92,$11-30,4.0,Lima Criolla,6406 N Interstate 35 Frontage Rd Austin TX 78752
13,$11-30,4.0,Bazille,3111 Palm Way Austin TX 78758
237,$31-60,3.5,Siena Ristorante Toscana,6203 N Capital Of Texas Hwy Austin TX 78731
166,$11-30,4.0,Voila! Bistrot,2805 E Madison St Seattle WA 98112
324,$11-30,3.5,JOEY Kitchen At University Village,2603 NE 46th St Seattle WA 98105
363,$11-30,4.0,Smarty Pants,6017 Airport Way S Seattle WA 98108
114,$11-30,4.0,Harry’s Chicken Joint,6032 California Ave SW Seattle WA 98136
299,$11-30,4.0,Market Grill,1509 Pike Pl Seattle WA 98101
1697,Under $10,4.5,Le Panier French Bakery,1902 Pike Pl Seattle WA 98101
212,$11-30,4.0,Percy’s & Co.,5233 Ballard Ave NW Seattle WA 98107
138,$11-30,4.0,Tofully,502 S King St Seattle WA 98104
160,Under $10,4.0,Pacific Cafe Hong Kong Kitchen,416 5th Ave S Seattle WA 98104
73,$11-30,4.0,MEW MEN,7 Cornelia St New York NY 10014
42,$11-30,4.5,Hanoi House,119 Saint Marks Pl New York NY 10009
1164,$11-30,4.0,Sweet Chick,164 Bedford Ave Brooklyn NY 11211
143,$11-30,4.0,Bunsmith,789 Franklin Ave Brooklyn NY 11238
89,$11-30,4.0,Alameda,195 Franklin St Brooklyn NY 11222
73,$11-30,4.0,Himalayan Sherpa House,2227 N 56th St Seattle WA 98103
866,$31-60,4.0,Maison Premiere,298 Bedford Ave Brooklyn NY 11211
103,$11-30,4.5,Murasaki,4644 Vernon Blvd Long Island City NY 11101
26,$11-30,3.0,VERTS Mediterranean Grill,24 East 23rd St New York NY 10010
185,$11-30,4.0,Tribeca’s Kitchen,200 Church St New York NY 10013
