,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
986,986,1466,1568,five senses,9 W 32nd St New York NY 10001,4.0,$20,552,new wonjo,23 W 32nd St New York NY 10001,3.8,$60,25,0
998,998,1485,3082,las cazuelas ,55 Race St San Jose CA 95126,4.0,$20,246,las cazuelas,55 Race St San Jose CA 95126,3.1,$40,1,1
1000,1000,1488,957,patxiâs pizza,3350 Zanker Rd San Jose CA 95134,3.5,$20,611,patxi's pizza,3350 Zanker Road North San Jose San Jose CA 95134,3.2,$50,4,1
1003,1003,1497,2600,ku sushi and izakaya,5210 University Way NE Seattle WA 98105,3.5,$20,111,pizza pi vegan pizzaeria,5500 University Way NE Seattle WA 98105,3.3,$45,13,0
1012,1012,1514,605,crepevine ,1100 Lincoln Ave San Jose CA 95125,3.5,$20,583,crepevine,1100 Lincoln Avenue Suite 190 San Jose CA 95125,3.6,$35,1,1
1013,1013,1514,2028,crepevine ,1100 Lincoln Ave San Jose CA 95125,3.5,$20,583,main street burgers,1100 Lincoln Avenue San Jose CA 95125,2.9,$30,1,0
1017,1017,1525,888,hue ky mi gia,1207 S Jackson St Seattle WA 98144,4.0,$5,406,seven stars pepper szechuan ,1207 South Jackson St Seattle WA 98144,3.9,$25,18,0
1018,1018,1525,2093,hue ky mi gia,1207 S Jackson St Seattle WA 98144,4.0,$5,406,saigon deli,1237 S Jackson St Seattle WA 98144,3.7,$15,18,0
1026,1026,1539,1672,king eggroll,980 Lundy Ave San Jose CA 95133,4.0,$5,587,king eggroll,980 Lundy Avenue San Jose CA 95133,3.5,$30,2,1
1029,1029,1546,2068,com ga nam an,348 E Santa Clara St San Jose CA 95113,4.0,$5,336,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1,0
1035,1035,1559,3169,mi tradicion,801 E William Cannon Dr Austin TX 78745,4.5,$5,66,tucci's southside subs,801 E William Cannon Drive Austin TX 78745,3.1,$25,5,0
1038,1038,1568,2449,taylor shellfish farms,1521 Melrose Ave Seattle WA 98122,4.0,$20,664,taylor shellfish,Melrose Market 1521 Melrose Avenue Seattle WA 98122,3.3,$65,18,1
1042,1042,1585,1671,don pedroâs ,43 Post St San Jose CA 95113,4.0,$20,106,don pedro's,43 Post St San Jose CA 95113,3.1,$25,2,1
1045,1045,1588,2052,emperor nortonâs italian restaurant & pizzeria,7058 Santa Teresa Blvd San Jose CA 95139,3.5,$20,165,golden house chinese,7108 Santa Teresa Blvd San Jose CA 95139,3.6,$40,1,0
1046,1046,1592,1636,julioâs cafÃ©,4230 Duval St Austin TX 78751,4.0,$5,309,julio's cafe,4230 Duval St Austin TX 78751,3.7,$40,15,1
1050,1050,1609,20,reserve a table,238 Race St San Jose CA 95126,3.5,$20,744,habana cuba,238 Race St San Jose CA 95126,4.0,$25,12,0
1054,1054,1631,48,la condesa,400 W 2nd St Austin TX 78701,3.5,$20,1073,la condesa,400 A W 2nd St Austin TX 78701,3.5,$80,54,1
1061,1061,1642,806,diner,85 Broadway Brooklyn NY 11211,4.0,$20,644,diner,85 Broadway Brooklyn NY 11211,4.2,$60,19,1
1063,1063,1645,2776,el taquito,1713 E Riverside Dr Austin TX 78741,4.0,$5,270,el jacalito,2030 E Oltorf St Austin TX 78741,3.2,$30,5,1
1068,1068,1652,1227,bocaphÃª,222 Lafayette St New York NY 10012,4.0,$20,266,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28,0
1075,1075,1672,1076,el borrego de oro,3900 S Congress Ave Austin TX 78704,4.0,$5,197,el borrego de oro,3900 S Congress Avenue TX 78704,3.7,$50,9,1
1079,1079,1676,2120,michi ramen,6519 N Lamar Blvd Austin TX 78752,4.0,$20,961,michi ramen,6519 N Lamar Blvd TX 78752,3.4,$40,7,1
1080,1080,1677,2759,xian sushi and noodle,1801 E 51 St Austin TX 78723,4.0,$20,301,caf mueller,1801 E 51st St Austin TX 78723,3.4,$30,7,0
1081,1081,1678,50,bartlettâs,2408 W Anderson Ln Austin TX 78757,4.0,$45,533,bartlett's,2408 W Anderson Lane Burnet Road Austin TX 78757,4.2,$100,43,1
1092,1092,1695,422,tomo sushi,5487 Snell Ave San Jose CA 95123,3.5,$20,222,tomo sushi,5487 Snell Avenue San Jose CA 95123,3.7,$25,7,1
1094,1094,1696,2370,eat viet,3730 N 1st St San Jose CA 95134,3.5,$5,177,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1,0
1113,1113,1712,558,skycity at the needle,400 Broad St Seattle WA 98109,3.5,$45,1328,skycity ,400 Broad St Seattle WA 98109,3.5,$130,59,1
1115,1115,1714,388,marÃ©e bistro and bar,2820 Alki Ave SW Seattle WA 98116,4.5,$45,23,cactus,2820 Alki Avenue SW Seattle WA 98116,4.0,$40,31,0
1117,1117,1724,976,pho to thi #1,5499 Snell Ave San Jose CA 95123,4.0,$5,31,pho my,5499 Snell Avenue San Jose CA 95123,3.7,$15,1,1
1121,1121,1729,1532,oliverâs twist,6822 Greenwood Ave N Seattle WA 98103,4.0,$20,289,oliver's twist,6822 Greenwood Avenue N Seattle WA 98103,3.6,$30,18,1
1131,1131,1754,268,tilth,1411 N 45th St Seattle WA 98103,4.0,$45,781,tilth,1411 North 45th St WA 98103,4.0,$85,76,1
1134,1134,1766,22,pieology pizzeria,1095 East Brokaw Road San Jose CA 95131,4.0,$5,1380,pieology,1095 E Brokaw Road San Jose CA 95131,3.1,$50,2,1
1140,1140,1774,138,lua brazil,2600 E Cesar Chavez St Austin TX 78702,5.0,,7,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$25,66,0
1142,1142,1779,550,elliott bay brewery & pub,4720 California Ave SW Seattle WA 98116,4.0,$20,371,elliott bay brewery & pub,4720 California Avenue SW Seattle WA 98116,4.1,$40,30,1
1143,1143,1780,2583,moonlight cafe,1919 S Jackson St Seattle WA 98144,4.0,$5,315,moonlight cafe,1919 S Jackson St Seattle WA 98144,4.1,$30,12,1
1153,1153,1802,1239,nougatine at jean-georges,1 Central Park W New York NY 10023,4.0,$45,916,nougatine,1 Central Park West New York NY 10023,3.7,$150,33,1
1154,1154,1804,1200,isabellaâs ,700 S Winchester Blvd San Jose CA 95128,3.5,$20,740,isabella's ,700 South Winchester Blvd San Jose CA 95128,3.1,$13,3,1
1173,1173,1834,2941,eureka!,2614 NE 46th St Seattle WA 98105,3.5,$20,357,eureka!,University Village 2614 NE 46th St Seattle WA 98105,3.0,$50,14,1
1182,1182,1844,506,little deli & pizzeria,7101-A Woodrow Ave Austin TX 78757,4.5,$5,906,little deli & pizzeria,7101 A Woodrow Avenue Austin TX 78757,4.4,$50,30,1
1183,1183,1847,2634,the original new orleans po-boy,1806 E 12th St Austin TX 78702,4.0,$20,22,the original new orleans po-boy and gumbo shop,1806 E 12th St Austin TX 78702,3.2,$35,8,1
1190,1190,1867,2985,north by northwest restaurant & brewery - slaughter,5701 W Slaughter Ln Austin TX 78749,3.5,$20,189,400 rabbits bar,5701 W Slaughter Lane Austin TX 78749,3.5,$15,2,0
1194,1194,1873,138,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$5,1180,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$25,66,1
1203,1203,1886,1861,kim tar ,1698 Hostetter Rd San Jose CA 95131,3.5,$5,239,goldilocks,1698 Hostetter Road San Jose CA 95131,3.2,$25,1,0
1211,1211,1899,2545,americana,219 Broadway E Seattle WA 98102,4.0,$20,719,mirch masala,213 Broadway E Seattle WA 98102,3.5,$40,16,0
1212,1212,1899,2561,americana,219 Broadway E Seattle WA 98102,4.0,$20,719,americana,219 Broadway East Seattle WA 98102,3.3,$40,12,1
1214,1214,1917,642,calle ocho,45 W 81st St New York NY 10024,4.0,$20,1996,call ocho,Excelsior Hotel 45 W 81st St New York NY 10024,4.2,$80,27,1
1218,1218,1923,2948,serious pie,1124 Pike St Seattle WA 98101,4.0,$20,222,rumba,1112 Pike St Seattle WA 98101,3.5,$60,9,0
1222,1222,1927,1358,maudieâs milagro,3801 N Capital Of Texas Hwy Austin TX 78746,3.5,$20,225,maudie's milagro,3801 N Capital Of Texas Hwy Suite 200 Austin TX 78746,3.9,$40,15,1
1224,1224,1934,1077,san francisco bakery & cafÃ©,2900 W Anderson Ln Austin TX 78757,4.0,$5,271,san francisco bakery and cafe,2900 W Anderson Lane Suite L Austin TX 78757,3.7,$25,12,1
1233,1233,1960,1958,the hamilton,998 Amsterdam Avenue New York NY 10025,4.5,$20,70,talia's steakhouse,668 Amsterdam Avenue New York NY 10025,3.4,$110,18,0
1234,1234,1960,2353,the hamilton,998 Amsterdam Avenue New York NY 10025,4.5,$20,70,awash,947 Amsterdam Avenue New York NY 10025,4.2,$60,14,0
1255,1255,2003,2379,ihop,644 N 1st St San Jose CA 95112,3.5,$20,217,ihop,644 N 1st St Downtown San Jose CA 95112,3.2,$20,1,1
1257,1257,2006,741,picassoâs tapas ,62 W Santa Clara St San Jose CA 95113,3.5,$20,539,fuji,56 W Santa Clara St San Jose CA 95113,3.4,$35,1,0
1260,1260,2006,2234,picassoâs tapas ,62 W Santa Clara St San Jose CA 95113,3.5,$20,539,picassos tapas & restautant,62 West Santa Clara St San Jose CA 95113,-,$60,1,1
1275,1275,2027,713,cafe lago,2305 24th Ave E Seattle WA 98112,3.5,$20,169,cafe lago,2305 24th Avenue East WA 98112,3.6,$15,27,1
1282,1282,2037,55,bua loy thai cuisine,1211 E 6th St Austin TX 78702,5.0,$5,5,buenos aires cafe,1201 E 6th St Austin TX 78702,4.1,$70,26,0
1295,1295,2054,1157,pho cong ly,460 E William St San Jose CA 95112,4.0,$5,390,dalat,408 E William St San Jose CA 95112,3.5,$50,1,0
1307,1307,2072,2239,ladda thai cuisine,90 Skyport Dr San Jose CA 95110,3.0,$20,114,vito's rock & roll cafe,90 Skyport Drive San Jose CA 95110,-,$25,2,0
1317,1317,2085,1011,the maze,32 W 32nd St New York NY 10001,4.0,$20,83,the kunjip,32 W 32nd St New York NY 10001,3.8,$80,23,0
1322,1322,2094,1296,bamboo garden vegetarian cuisine,364 Roy St Seattle WA 98109,3.5,$20,410,bamboo garden,364 Roy St Seattle 98109,3.7,$40,19,1
1331,1331,2108,1657,maâs ,1715 Lundy Ave San Jose CA 95131,3.5,$20,497,thai recipe,1715 Lundy Avenue San Jose CA 95131,3.3,$13,1,0
1334,1334,2111,2382,sushi boat,1701 Airport Blvd San Jose CA 95110,3.5,$20,140,sushi boat,1701 Airport Blvd Terminal B Gate 23 San Jose CA 95110,2.9,$20,1,1
1336,1336,2115,1524,the little london plane,322 Occidental Ave S Seattle WA 98104,4.0,$20,17,the london plane,300 Occidental Avenue South Seattle WA 98104,3.5,$35,16,0
1341,1341,2119,2085,thanh vi,4226 University Way NE Seattle WA 98105,4.0,$5,365,thai 65,4214 University Way NE Seattle WA 98105,3.5,$25,13,0
1343,1343,2119,3104,thanh vi,4226 University Way NE Seattle WA 98105,4.0,$5,365,flowers bar & ,4247 University Way NE Seattle WA 98105,3.2,$45,6,0
1350,1350,2136,1237,gardenia,64 Downing St New York NY 10014,4.0,$20,122,blue ribbon bakery,34 Downing St New York NY 10014,4.0,$60,14,0
1354,1354,2144,2823,bohemian ,57 Great Jones St New York NY 10012,4.5,$45,526,acme,9 Great Jones St New York NY 10012,3.7,$50,15,0
1357,1357,2155,1393,an nam pho,6510 Roosevelt Way NE Seattle WA 98115,4.5,$5,104,bengal tiger,6509 Roosevelt Way NE Seattle WA 98115,3.9,$50,22,0
1360,1360,2158,112,house of genji,1335 N 1st St San Jose CA 95112,3.5,$20,569,house of genji,1335 North First St San Jose CA 95112,3.7,$25,6,1
1367,1367,2167,3,the original krung thai ,642 S Winchester Blvd San Jose CA 95128,3.5,$20,862,new krung thai,640 S Winchester Blvd  San Jose CA 95128,4.4,$40,17,0
1375,1375,2181,774,the old spaghetti factory,51 N San Pedro St San Jose CA 95110,3.0,$20,1084,71 saint peter,71 N San Pedro St San Jose CA 95110,3.7,$45,2,0
1376,1376,2182,731,kubota ,593 N 5th St San Jose CA 95112,3.5,$20,391,kubota,593 N 5th St San Jose CA 95112,3.6,$13,2,1
1398,1398,2211,2662,cucina americana,9400 Roosevelt Way NE Seattle WA 98115,4.5,$20,25,salvatore ristorante italiano,6100 Roosevelt Way NE Seattle WA 98115,3.9,$60,11,0
1410,1410,2231,167,hama japanese cuisine,11 W 51st St New York NY 10019,4.0,$20,154,le bernardin,155 W 51st St New York NY 10019,4.6,$150,114,0
1415,1415,2231,3233,hama japanese cuisine,11 W 51st St New York NY 10019,4.0,$20,154,tout va bien,311 W 51st St New York NY 10019,3.9,$60,20,0
1421,1421,2248,1993,athina grill,528 Queen Anne Ave N Seattle WA 98109,4.0,$20,244,athina grill,528 Queen Anne Avenue North Seattle WA 98109,3.9,$30,15,1
1427,1427,2259,351,happy dog,284 S 11th St San Jose CA 95112,4.5,$5,131,happy dog,284 S 11th St Downtown San Jose CA 95112,3.9,$70,5,1
1430,1430,2268,3054,papalote taco house,2803 S Lamar Blvd Austin TX 78704,4.0,$5,356,the soup peddler,2801 S Lamar Blvd Austin TX 78704,3.3,$25,7,0
1436,1436,2274,1618,wholly cow,3010 S Lamar Blvd Austin TX 78704,4.0,$5,432,wholly cow burgers,3010 S Lamar Blvd Austin TX 78704,3.6,$30,18,1
1441,1441,2280,2421,thai-u-up,7501 Roosevelt Way NE Seattle WA 98115,4.5,$5,33,cloud city coffee,8801 Roosevelt Way NE Seattle WA 98115,3.8,$25,10,0
1448,1448,2296,2071,bjâs restaurant & brewhouse,511 Coleman Ave San Jose CA 95110,2.5,$20,628,bj's,511 Coleman Avenue San Jose CA 95110,3.1,$13,1,1
1453,1453,2304,2823,vicâs,31 Great Jones St New York NY 10012,4.0,$20,222,acme,9 Great Jones St New York NY 10012,3.7,$50,15,0
1459,1459,2314,2686,tarsan i jane,4012 Leary Way NW Seattle WA 98107,4.0,$91,40,tray kitchen,4012 Leary Way NW Seattle WA 98107,3.1,$50,9,0
1462,1462,2322,540,sripraphai thai ,64-13 39th Ave Woodside NY 11377,4.0,$20,1892,sripraphai,6413 39th Avenue Queens NY 11377,4.5,$45,44,1
1466,1466,2327,1650,estancia churrascaria,10000 Research Blvd Austin TX 78759,4.0,$45,400,estancia churrascaria,10000 Research Blvd Suite B Austin TX 78759,3.5,$150,15,1
1483,1483,2355,491,alc steaks,1205 N Lamar Blvd Austin TX 78703,4.0,$45,432,alc steaks,1205 N Lamar Blvd Austin TX 78703,3.9,$150,30,1
1487,1487,2361,2930,prima pizza & pasta,10505 N Fm 620 Austin TX 78726,4.5,$20,147,prima pizza pasta,10505 N Farm to Market 620 Austin TX 78726,3.5,$40,12,1
1490,1490,2365,1834,betoâs mexican ,3518 E 7th St Austin TX 78702,4.0,$5,16,angie's mexican ,1307 E 7th St Austin TX 78702,3.2,$40,19,0
1491,1491,2366,919,tonyâs jamaican food,1200 E 11th St Austin TX 78702,4.5,$5,138,hillside farmacy,1209 E 11th St Austin TX 78702,3.4,$45,20,0
1508,1508,2406,2684,teatro zinzanni,222 Mercer St Seattle WA 98109,4.0,$91,479,teatro zinzanni,222 Mercer St Seattle WA 98109,3.3,$100,15,0
1509,1509,2406,2879,teatro zinzanni,222 Mercer St Seattle WA 98109,4.0,$91,479,t.s. mchugh's ,21 Mercer St Seattle WA 98109,2.3,$40,12,0
1514,1514,2412,1010,the leary traveler,4354 Leary Way NW Seattle WA 98107,4.0,$20,199,hale's ales brewpub,4301 Leary Way NW Seattle WA 98107,3.3,$75,30,0
1519,1519,2419,2284,pourt,35 Cooper Square New York NY 10003,5.0,$20,9,gyu-kaku,34 Cooper Square New York NY 10003,3.9,$80,13,0
1529,1529,2443,1964,the best wurst,201 E 6th St Austin TX 78701,4.5,$5,267,the best wurst,201 E 6th St Austin TX 78701,3.6,$25,9,1
1534,1534,2445,3067,way south philly,1209 E 6th St Austin TX 78702,4.5,$5,241,the hightower,1209 E 7th St Austin TX 78702,3.1,$55,7,0
1536,1536,2451,3087,ozu sushi & grill,86 S 1st St San Jose CA 95113,3.5,$20,124,ozu sushi & grill,86 S 1st St San Jose CA 95113,-,$25,1,1
1563,1563,2515,977,curry pundits,30 E Santa Clara St San Jose CA 95113,3.5,$5,161,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1,1
1568,1568,2515,3090,curry pundits,30 E Santa Clara St San Jose CA 95113,3.5,$5,161,dive bar,78 E Santa Clara St San Jose CA 95113,-,$25,1,0
1578,1578,2528,232,el borracho,Pike Place Market Seattle WA 98101,4.0,$20,406,matt's in the market,Pike Place Market 94 Pike St Seattle WA 98101,4.0,$55,77,0
1579,1579,2528,563,el borracho,Pike Place Market Seattle WA 98101,4.0,$20,406,maximilien,Pike Place Market 81 Pike St Seattle WA 98101,3.8,$110,43,0
1591,1591,2550,679,estiatorio milos,125 W 55th St New York NY 10019,4.0,$91,616,estiatorio milos,125 W 55th St New York NY 10019,4.0,$250,20,1
1599,1599,2563,2636,cantine italian cafe & bar,1100 S Lamar Blvd Austin TX 78704,4.0,$20,103,luke's inside out,1109 S Lamar Blvd Austin TX 78704,3.4,$30,6,0
1604,1604,2580,75,dahlia bakery,2001 4th Ave Seattle WA 98121,4.5,$5,671,dahlia lounge,2001 4th Avenue Seattle WA 98121,4.0,$100,123,1
1605,1605,2580,243,dahlia bakery,2001 4th Ave Seattle WA 98121,4.5,$5,671,macrina bakery,2408 1st Avenue Seattle WA 98121,4.3,$35,36,0
1612,1612,2600,758,sushi kan,1305 N 1st St San Jose CA 95112,3.5,$20,81,sushi maru,262 Jackson St San Jose CA 95112,3.8,$50,1,0
1613,1613,2600,973,sushi kan,1305 N 1st St San Jose CA 95112,3.5,$20,81,sushi zen,1305 North First St San Jose CA 95112,3.4,$43,2,1
1615,1615,2605,1049,juicy burger,630 Blossom Hill Rd San Jose CA 95123,4.0,$5,180,juicy burger,630 Blossom Hill Road  San Jose CA 95123,3.4,$25,3,1
1626,1626,2615,3159,elizabeth street cafe,1501 S 1st St Austin TX 78704,3.5,$20,953,dock & roll diner,1503 S 1st St Austin TX 78704,3.3,$35,9,0
1639,1639,2637,3075,el sunzal ,642 Calles St Austin TX 78702,4.0,$5,76,el sunzal,642 Calles St Austin TX 78702,3.2,$35,10,1
1644,1644,2642,2568,ikeâs love & sandwiches,75 E Santa Clara St San Jose CA 95113,4.0,$20,513,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1,0
1648,1648,2649,1166,iguanas burritozilla,4848 San Felipe Rd San Jose CA 95135,3.5,$5,501,iguanas,4848 San Felipe Road San Jose CA 95135,3.4,$45,5,1
1654,1654,2656,2769,mikado ryotei,9033 Research Blvd Austin TX 78758,4.0,$20,343,sherlock's baker st. pub & grill,9012 Research Blvd Austin TX 78758,3.1,$40,4,0
1656,1656,2657,899,reserve a table,207 San Jacinto Blvd Austin TX 78701,4.0,$20,680,scholz garten,1607 San Jacinto Blvd Austin TX 78701,3.6,$40,17,0
1660,1660,2662,625,la isla cuisine,2320 NW Market St Seattle WA 98107,4.0,$20,928,ocho,2325 NW Market St Seattle WA 98107,4.2,$40,40,0
1661,1661,2663,873,bait shop,606 Broadway E Seattle WA 98102,4.5,$20,155,pho cyclo cafe,406 Broadway E Seattle WA 98102,3.7,$25,23,0
1668,1668,2675,1434,kumako,211 Jackson St San Jose CA 95112,3.0,$20,710,shuei-do manju shop,217 Jackson St San Jose CA 95112,3.2,$30,3,0
1671,1671,2678,976,pho la,6055 Snell Ave San Jose CA 95123,3.5,$5,163,pho my,5499 Snell Avenue San Jose CA 95123,3.7,$15,1,0
1675,1675,2681,2590,bluwater bistro,102 Lakeside Ave Seattle WA 98122,2.5,$20,241,bluwater bistro,102 Lakeside Avenue Seattle WA 98122,2.9,$60,20,1
1687,1687,2691,1618,flour and vine,300 S Lamar Blvd Austin TX 78704,3.5,$20,167,wholly cow burgers,3010 S Lamar Blvd Austin TX 78704,3.6,$30,18,0
1688,1688,2691,2110,flour and vine,300 S Lamar Blvd Austin TX 78704,3.5,$20,167,pei wei,4200 S Lamar Blvd Austin TX 78704,3.7,$25,6,0
1697,1697,2704,259,ettaâs,2020 Western Ave Seattle WA 98121,3.5,$20,962,etta's,2020 Western Avenue Seattle WA 98121,3.9,$55,89,1
1698,1698,2706,1227,gato,324 Lafayette St New York NY 10012,4.0,$45,768,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28,0
1704,1704,2709,1148,canon,928 12th Ave Seattle WA 98122,4.0,$20,576,canon,928 12th Avenue Seattle WA 98122,3.5,$60,23,1
1716,1716,2719,433,la perlita,227 Congress Avenue Austin TX 78701,5.0,$45,1,second bar + kitchen,200 Congress Avenue Austin TX 78701,3.9,$90,42,0
1718,1718,2721,841,chenâs noodle house,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,368,asia cafe,8650 Spicewood Springs Road Austin TX 78759,4.1,$35,25,0
1719,1719,2721,1455,chenâs noodle house,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,368,camino real,8650 Spicewood Springs Road Austin TX 78759,3.5,$30,7,0
1725,1725,2731,923,pollo tropical,211 S Lamar Blvd Austin TX 78704,3.5,$5,35,black sheep lodge,2108 S Lamar Blvd Austin TX 78704,3.9,$50,21,0
1729,1729,2732,202,katzâs delicatessen,205 E Houston St New York NY 10002,4.0,$20,7175,katz's delicatessen,205 East Houston St New York NY 10002,4.9,$30,444,1
1746,1746,2769,1655,blush raw bar lounge,100 N Almaden Ave San Jose CA 95110,3.5,$20,750,blush raw bar lounge,San Pedro Square Market 100 N Almaden Avenue Suite 160 San Jose CA 95110,3.2,$65,2,1
1759,1759,2796,1163,wingâs chinese ,131 Jackson St San Jose CA 95112,3.5,$20,308,shaburi,171 Jackson St San Jose CA 95112,3.7,$15,2,0
1763,1763,2801,776,smokeeaters,29 S 3rd St San Jose CA 95113,3.5,$20,816,smoke eaters,29 South 3rd St San Jose CA 95113,3.6,$45,4,1
1769,1769,2810,1096,thai kitchen,3009 Guadalupe St Austin TX 78705,3.5,$5,428,thai kitchen,3009 Guadalupe St Austin TX 78705,3.7,$30,18,1
1772,1772,2811,2439,kabsa house,12340 Lake City Way NE Seattle WA 98125,4.5,$20,16,elliott bay brewery & pub,12537 Lake City Way NE Seattle WA 98125,3.6,$30,14,0
1794,1794,2834,2375,senor taco taqueria,1375 Blossom Hill Rd San Jose CA 95118,4.0,$5,215,senor taco,1375 Blossom Hill Road San Jose CA 95118,3.9,$35,2,1
1796,1796,2836,2891,rain shadow meats squared,404 Occidental Ave S Seattle WA 98104,4.5,$20,209,rain shadow meats,404 Occidental Avenue South WA 98104,3.3,$30,11,1
1802,1802,2845,915,cedar door,201 Brazos St Austin TX 78701,3.5,$20,329,cedar door bar and grill,201 Brazos St Austin TX 78701,3.5,$40,24,1
1806,1806,2848,1895,patsyâs cafe,5001 E Ben White Blvd Austin TX 78741,3.5,$20,126,patsy's cafe,5001 E Ben White Blvd Austin TX 78741,3.6,$40,21,1
1813,1813,2859,548,the eddy,342 E 6th St New York NY 10003,4.5,$45,277,veniero's pasticceria & caffe,342 E 11th St New York NY 10003,4.3,$20,33,0
1816,1816,2871,1304,clinton street baking company,4 Clinton St New York NY 10002,4.0,$20,3430,clinton street baking company,4 Clinton St New York NY 10002,4.3,$70,83,1
1834,1834,2924,2147,elmaâs taqueria,Fresco Supermarket San Jose CA 95122,4.5,$5,29,super taqueria,911 McLaughlin Avenue San Jose CA 95122,3.3,$43,1,0
1842,1842,2936,2923,michi ramen,3005 S Lamar Blvd Austin TX 78704,3.5,$20,115,rockin tomato,3003 S Lamar Blvd Austin TX 78704,3.7,$35,6,0
1850,1850,2950,1588,noodle village,13 Mott St New York NY 10013,4.0,$5,562,shanghai caf,100 Mott St New York NY 10013,4.0,$35,32,0
1859,1859,2968,716,mai thaiku,6705 Greenwood Ave N Seattle WA 98103,4.0,$20,173,thaiku,6705 Greenwood Avenue North Greenwood Seattle WA 98103,3.8,$35,15,1
1860,1860,2969,2551,pecado bueno,4307 Fremont Ave N Seattle WA 98103,4.0,$20,418,pecado bueno,4307 Fremont Avenue North Seattle WA 98103,3.5,$25,15,1
1861,1861,2973,888,pho so 1,1207 S Jackson St Seattle WA 98144,4.0,$5,132,seven stars pepper szechuan ,1207 South Jackson St Seattle WA 98144,3.9,$25,18,0
1862,1862,2973,2093,pho so 1,1207 S Jackson St Seattle WA 98144,4.0,$5,132,saigon deli,1237 S Jackson St Seattle WA 98144,3.7,$15,18,0
1878,1878,2996,1969,gourmands neighborhood pub,2316 Webberville Rd Austin TX 78702,4.0,$5,417,gourmands neighborhood pub,2316 Webberville Road Austin TX 78702,3.6,$35,9,1
1884,1884,2998,2612,miyabitei japanese ,675 Saratoga Ave San Jose CA 95129,3.5,$5,261,matcha love,675 Saratoga Avenue San Jose CA 95129,-,$13,1,0
1888,1888,3007,661,reserve a table,325 W 51st St New York NY 10019,4.0,$45,186,ippudo westside,321 W 51st St New York NY 10019,4.3,$70,36,0
1889,1889,3007,3000,reserve a table,325 W 51st St New York NY 10019,4.0,$45,186,braai,329 W 51st St New York NY 10019,3.5,$80,16,0
1894,1894,3012,269,local pho,2230 3rd Ave Seattle WA 98121,4.0,$5,323,local 360,2234 1st Avenue WA 98121,4.0,$50,69,0
1898,1898,3017,2047,mimiâs chinese kitchen,5278 Monterey Hwy San Jose CA 95111,4.0,$20,50,mimi's chinese kitchen,5278 Monterey Road San Jose CA 95111,3.5,$45,1,1
1908,1908,3035,1794,bondst,6 Bond St New York NY 10012,4.0,$45,719,bondst,6 Bond St New York NY 10012,3.9,$120,23,1
1911,1911,3047,572,pinkaew thai cuisine,5101 25th Ave NE Seattle WA 98105,4.0,$20,109,mamma melina,5101 25th Avenue NE Seattle WA 98105,4.0,$40,35,0
1915,1915,3063,1967,flores mexican ,8300 N FM 620 Austin TX 78726,3.5,$20,160,flores mexican ,8300 FM 620 N Austin TX 78726,3.3,$50,14,0
1917,1917,3066,1448,rossâ old austin cafe,11800 N Lamar Blvd Austin TX 78753,4.0,$5,145,ross' old austin cafe,11800 N Lamar Blvd Suite 6 Austin TX 78753,3.7,$30,22,1
1920,1920,3067,1652,winflo osteria,1315 W 6th St Austin TX 78703,3.5,$20,327,winflo,1315 W 6th St Austin TX 78703,3.3,$85,8,1
1927,1927,3074,1211,sweetgreen,66 E 55th St New York NY 10022,5.0,$20,5,aquavit,65 E 55th St New York NY 10022,3.9,$275,16,0
1928,1928,3080,168,nobu,105 Hudson St New York NY 10013,4.0,$91,1295,nobu,105 Hudson St New York NY 10013,4.3,$250,70,1
1930,1930,3080,1037,nobu,105 Hudson St New York NY 10013,4.0,$91,1295,ninja new york,25 Hudson St New York NY 10013,3.7,$90,29,0
1938,1938,3087,1279,taqueria la taquiza,1447 Bird Ave San Jose CA 95125,4.0,$5,72,taqueria tlaquepaque,699 Curtner Avenue Suite 140 San Jose CA 95125,3.6,$25,1,1
1941,1941,3088,2172,senor jalapeno taqueria,1759 Technology Dr San Jose CA 95110,3.5,$5,69,senor jalapeno,1759 Technology Drive San Jose CA 95110,2.9,$25,1,1
1952,1952,3105,875,greenlake bar & grill,7200 E Green Lake Dr N Seattle WA 98115,3.5,$20,446,greenlake bar & grill,7200 East Green Lake Drive North Seattle WA 98115,3.5,$40,16,1
1953,1953,3107,2961,seattle center armory,305 Harrison St Seattle WA 98109,4.0,$20,82,skillet counter,305 Harrison St Seattle WA 98109,3.0,$30,13,0
