,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
450,450,666,703,pair,5501 30th Ave NE Seattle WA 98105,4.0,$20,180,pair,5501 30th Avenue NE Seattle WA 98105,3.9,$50,23
451,451,668,119,fonda san miguel ,2330 W N Loop Blvd Austin TX 78756,4.0,$45,608,fonda san miguel,2330 W North Loop Blvd Austin TX 78756,4.3,$70,56
452,452,671,337,evangeline café,8106 Brodie Ln Austin TX 78745,4.0,$20,541,evangeline cafe,8106 Brodie Lane Austin TX 78745,4.4,$40,38
453,453,674,161,carmine’s theater district,200 W 44th St New York NY 10036,4.0,$20,2286,carmine's,200 W 44th St New York NY 10036,4.6,$100,125
454,454,674,164,carmine’s theater district,200 W 44th St New York NY 10036,4.0,$20,2286,john's pizza of times square,260 W 44th St New York NY 10036,4.5,$40,133
455,455,674,221,carmine’s theater district,200 W 44th St New York NY 10036,4.0,$20,2286,carmine's,200 W 44th St New York NY 10036,4.6,$100,125
456,456,674,224,carmine’s theater district,200 W 44th St New York NY 10036,4.0,$20,2286,john's pizza of times square,260 W 44th St New York NY 10036,4.5,$40,133
457,457,674,949,carmine’s theater district,200 W 44th St New York NY 10036,4.0,$20,2286,guy's american kitchen & bar,220 W 44th St New York NY 10036,3.2,$125,55
458,458,679,1205,le bon de cuisine,5592 Santa Teresa Blvd San Jose CA 95123,4.0,$5,661,le bon de cuisine,5592 Santa Teresa Blvd San Jose CA 95123,2.9,$30,2
459,459,681,462,reserve a table,248 5th Ave Brooklyn NY 11215,4.0,$45,660,al di l trattoria,248 5th Avenue Brooklyn NY 11215,4.5,$100,27
460,460,684,658,adrienne’s pizzabar,54 Stone St New York NY 10004,4.0,$20,1081,adrienne's pizza bar,54 Stone St New York NY 10004,4.5,$40,35
461,461,689,393,staple & fancy mercantile,4739 Ballard Ave NW Seattle WA 98107,4.0,$45,570,staple & fancy,4739 Ballard Avenue NW Seattle WA 98107,3.8,$70,45
462,462,690,2467,silkroad noodle bar,4507 University Way NE Seattle WA 98105,4.0,$5,71,u:don fresh noodle station,4515 University Way NE Seattle WA 98105,3.5,$20,12
463,463,690,3104,silkroad noodle bar,4507 University Way NE Seattle WA 98105,4.0,$5,71,flowers bar & ,4247 University Way NE Seattle WA 98105,3.2,$45,6
464,464,690,3105,silkroad noodle bar,4507 University Way NE Seattle WA 98105,4.0,$5,71,garam masala,4537 University Way NE Seattle WA 98105,3.5,$30,15
465,465,691,1784,kauai family ,6324 6th Ave S Seattle WA 98108,4.0,$5,345,kauai family ,6324 6th Avenue South Seattle WA 98108,3.9,$25,16
466,466,695,2377,sajj,4140 N 1st St San Jose CA 95134,4.0,$5,262,rok steakhouse,4130 N 1st St San Jose CA 95134,2.6,$30,1
467,467,696,402,palisade,2601 W Marina Pl Seattle WA 98199,4.0,$45,996,palisade,2601 West Marina Place Seattle WA 98199,3.8,$120,47
468,468,696,2019,palisade,2601 W Marina Pl Seattle WA 98199,4.0,$45,996,maggie bluffs,2601 W Marina Place Seattle WA 98199,3.5,$75,18
469,469,698,368,new indian cuisine,895 Willow St San Jose CA 95125,4.0,$20,355,flower flour,896 Willow St San Jose CA 95125,4.0,$13,3
470,470,699,12,yard house,300 Santana Row San Jose CA 95128,3.5,$20,2748,yard house,300 Santana Row Suite 101 San Jose CA 95128,3.7,$13,13
471,471,700,6,maggiano’s little italy,3055 Olin Ave San Jose CA 95128,3.5,$20,2795,maggiano's little italy,Santana Row 3055 Olin Avenue Suite 1000 San Jose CA 95128,4.0,$65,14
472,472,703,3072,inka chicken,1707 Wells Branch Pkwy Austin TX 78728,4.5,$5,368,inka chicken,1707 Wells Branch Pkwy Austin TX 78728,3.3,$30,6
473,473,704,124,hula hut,3826 Lake Austin Blvd Austin TX 78703,3.5,$20,1046,hula hut,3825 Lake Austin Blvd Austin TX 78703,4.2,$50,80
474,474,704,1364,hula hut,3826 Lake Austin Blvd Austin TX 78703,3.5,$20,1046,abel's on the lake,3825 Lake Austin Blvd Austin TX 78703,3.6,$70,31
475,475,705,922,fabi + rosi,509 Hearn St Austin TX 78703,4.0,$20,451,fabi+rosi,509 Hearn St Austin TX 78703,3.9,$40,18
476,476,708,864,the backspace,507 San Jacinto St Austin TX 78701,4.0,$20,528,the jackalope,404 E 6th St Austin TX 78701,3.6,$40,29
477,477,708,1632,the backspace,507 San Jacinto St Austin TX 78701,4.0,$20,528,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15
478,478,710,137,lamberts downtown barbecue,401 W 2nd St Austin TX 78701,4.0,$20,1279,lamberts downtown barbecue,401 W 2nd St Austin TX 78701,4.0,$100,81
479,479,710,1732,lamberts downtown barbecue,401 W 2nd St Austin TX 78701,4.0,$20,1279,austin java,301 W 2nd St Austin TX 78701,3.3,$35,8
480,480,714,2960,i see food,4311 University Way NE Seattle WA 98105,4.0,$20,157,jimmy john's,4141 University Way NE Seattle WA 98105,3.3,$25,5
481,481,715,400,maneki,304 6th Ave S Seattle WA 98104,4.0,$20,913,maneki ,304 6th Avenue South Seattle WA 98104,4.0,$75,30
482,482,719,869,morsel,4754 University Way NE Seattle WA 98105,4.5,$5,597,shultzy's sausage,4114 University Way NE Seattle WA 98105,3.9,$30,18
483,483,719,2085,morsel,4754 University Way NE Seattle WA 98105,4.5,$5,597,thai 65,4214 University Way NE Seattle WA 98105,3.5,$25,13
484,484,720,676,topaz noodle bar,129 W 56th St New York NY 10019,4.5,$20,182,new topaz,127 W 56th St New York NY 10019,4.3,$75,32
485,485,722,1017,l’artusi,228 W 10th St New York NY 10014,4.5,$45,1224,l'artusi,228 West 10th St New York NY 10014,4.2,$120,23
486,486,727,1019,jack’s wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,ed's lobster bar,222 Lafayette St New York NY 10012,4.0,$90,35
487,487,727,1227,jack’s wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28
488,488,727,1243,jack’s wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,morini osteria,218 Lafayette St New York NY 10012,3.9,$120,28
489,489,727,2800,jack’s wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,gato,324 Lafayette St New York NY 10012,3.6,$120,17
490,490,729,149,buddakan,75 9th Ave New York NY 10011,4.0,$45,3010,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
491,491,729,209,buddakan,75 9th Ave New York NY 10011,4.0,$45,3010,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
492,492,729,2691,buddakan,75 9th Ave New York NY 10011,4.0,$45,3010,amy's bread,75 9th Avenue New York NY 10011,4.0,$20,16
493,493,730,327,888 pan asian ,2400 E Oltorf St Austin TX 78741,4.0,$5,979,888 pan asian ,2400 E Oltorf St Suite 1A Austin TX 78741,4.1,$30,24
494,494,731,459,la traviata,314 Congress Ave Austin TX 78701,4.0,$20,382,la traviata,314 Congress Avenue Austin TX 78701,4.0,$65,30
495,495,733,836,apothecary cafe & wine bar,4800 Burnet Rd Austin TX 78756,4.0,$20,411,blue star cafeteria,4800 Burnet Road Austin TX 78756,3.5,$55,23
496,496,733,1362,apothecary cafe & wine bar,4800 Burnet Rd Austin TX 78756,4.0,$20,411,apothecary cafe and wine bar,4800 Burnet Road Suite 450 Austin TX 78756,4.0,$150,20
497,497,733,1733,apothecary cafe & wine bar,4800 Burnet Rd Austin TX 78756,4.0,$20,411,gusto italian kitchen & wine bar,4800 Burnet Road Austin TX 78756,3.3,$80,14
498,498,735,2113,italic,123 W 6th St Austin TX 78701,4.0,$20,286,italic,123 W 6th St Austin TX 78701,3.2,$70,8
499,499,736,1649,dai due,2406 Manor Rd Austin TX 78722,4.0,$20,329,dai due,2406 Manor Road Suite A Austin TX 78722,3.4,$70,8
500,500,737,3077,garbo’s,14735 Bratton Ln Austin TX 78728,4.0,$20,294,garbo's,14735 Bratton Lane Austin TX 78728,3.2,$75,6
501,501,741,2261,thalassa ,179 Franklin St New York NY 10013,4.0,$45,269,thalassa,179 Franklin St New York NY 10013,3.7,$120,36
502,502,744,1231,frankies 457 - brooklyn,457 Court St Brooklyn NY 11231,4.0,$20,613,frankies 457 spuntino,457 Court St Brooklyn NY 11231,4.4,$80,19
503,503,746,175,saigon shack,114 Macdougal St New York NY 10012,4.0,$5,1628,pommes frites,128 Macdougal St New York NY 10012,4.8,$35,85
504,504,746,531,saigon shack,114 Macdougal St New York NY 10012,4.0,$5,1628,minetta tavern,113 Macdougal St New York NY 10012,4.3,$100,63
505,505,746,2299,saigon shack,114 Macdougal St New York NY 10012,4.0,$5,1628,saigon shack,114 MacDougal St New York NY 10012,3.7,$30,12
506,506,746,2699,saigon shack,114 Macdougal St New York NY 10012,4.0,$5,1628,la lanterna di vittorio,129 Macdougal St New York NY 10012,4.0,$75,12
507,507,747,663,delilah,155 Rivington St New York NY 10002,4.5,$20,32,schiller's liquor bar,131 Rivington St New York NY 10002,4.1,$70,29
508,508,747,1252,delilah,155 Rivington St New York NY 10002,4.5,$20,32,sugar sweet sunshine,126 Rivington St New York NY 10002,4.1,$15,28
509,509,747,2206,delilah,155 Rivington St New York NY 10002,4.5,$20,32,spitzer's corner,101 Rivington St New York NY 10002,4.0,$60,15
510,510,749,1862,noah’s,1578 S Bascom Ave San Jose CA 95125,3.0,$5,132,noah's bagels,1578 S Bascom Avenue San Jose CA 95125,3.5,$20,1
511,511,752,1061,gulzaar halal restaurant & catering,1880 W San Carlos St San Jose CA 95128,4.5,$20,768,gulzaar halaal,1880 W San Carlos St San Jose CA 95128,3.9,$10,1
512,512,753,1163,hotpot first shabu,171 Jackson St San Jose CA 95112,4.0,$20,124,shaburi,171 Jackson St San Jose CA 95112,3.7,$15,2
513,513,753,1425,hotpot first shabu,171 Jackson St San Jose CA 95112,4.0,$20,124,wing's chinese,131 Jackson St San Jose CA 95112,3.6,$30,2
514,514,760,2097,bing’s,4200 E Madison St Seattle WA 98112,4.0,$20,202,bing's,4200 East Madison St Seattle WA 98112,3.7,$40,15
515,515,762,2556,the gerald,5210 Ballard Ave NW Seattle WA 98107,4.0,$20,267,the gerald,5210 Ballard Avenue NW Seattle WA 98107,3.2,$55,12
516,516,765,2548,the blue glass,704 NW 65th St Seattle WA 98117,4.0,$20,138,the blue glass,704 NW 65th St Seattle WA 98117,3.5,$45,14
517,517,766,1199,mina’s korean bbq,3730 N 1st St San Jose CA 95134,4.0,$20,94,sendo sushi,3730 N 1st St San Jose CA 95134,3.3,$43,2
518,518,766,2370,mina’s korean bbq,3730 N 1st St San Jose CA 95134,4.0,$20,94,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1
519,519,768,101,gombei japanese ,193 Jackson St San Jose CA 95112,4.0,$20,884,gombei japanese,193 Jackson St San Jose CA 95112,4.0,$80,5
520,520,768,748,gombei japanese ,193 Jackson St San Jose CA 95112,4.0,$20,884,roy's station,198 Jackson St San Jose CA 95112,3.6,$45,2
521,521,769,1593,kyusu burmese cuisine,1312 Saratoga Ave San Jose CA 95129,4.0,$20,531,kyusu burmese cuisine,1312 Saratoga Avenue San Jose CA 95129,3.2,$43,3
522,522,772,100,harry’s hofbrau,390 Saratoga Ave San Jose CA 95129,4.0,$20,738,harry's hofbrau,390 Saratoga Avenue San Jose CA 95129,3.8,$140,9
523,523,773,114,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$60,87
524,524,773,347,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,odd duck,1201 S Lamar Blvd Austin TX 78704,3.7,$65,25
525,525,773,2748,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,broken spoke,3201 S Lamar Blvd Austin TX 78704,3.1,$50,6
526,526,773,3054,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,the soup peddler,2801 S Lamar Blvd Austin TX 78704,3.3,$25,7
527,527,773,3055,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,phil's icehouse,2901 S Lamar Blvd Austin TX 78704,3.3,$30,8
528,528,778,440,justine’s brasserie,4710 E 5th St Austin TX 78702,4.0,$20,839,justine's brasserie,4710 E 5th St TX 78702,4.0,$80,35
529,529,780,1466,hanabi ramen & kushiyaki,2525 W Anderson Ln Austin TX 78757,4.0,$20,521,tarka indian kitchen,2525 W Anderson Lane Austin TX 78757,3.5,$30,4
530,530,786,701,reserve a table,300 E Pike St Seattle WA 98122,4.0,$20,409,poquitos,1000 E Pike St Seattle WA 98122,3.6,$50,36
531,531,786,1916,reserve a table,300 E Pike St Seattle WA 98122,4.0,$20,409,victrola coffee,310 E Pike St Seattle WA 98122,3.5,$30,10
532,532,786,2610,reserve a table,300 E Pike St Seattle WA 98122,4.0,$20,409,stateside,300 East Pike St Seattle WA 98122,3.4,$60,11
533,533,787,1541,tacos chukis,219 Broadway E Seattle WA 98102,4.5,$5,869,tacos chuks,The Alley 219 Broadway E WA 98102,3.7,$25,15
534,534,787,2545,tacos chukis,219 Broadway E Seattle WA 98102,4.5,$5,869,mirch masala,213 Broadway E Seattle WA 98102,3.5,$40,16
535,535,787,2561,tacos chukis,219 Broadway E Seattle WA 98102,4.5,$5,869,americana,219 Broadway East Seattle WA 98102,3.3,$40,12
536,536,789,841,seoulfood,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,77,asia cafe,8650 Spicewood Springs Road Austin TX 78759,4.1,$35,25
537,537,789,1455,seoulfood,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,77,camino real,8650 Spicewood Springs Road Austin TX 78759,3.5,$30,7
538,538,792,251,tamarind tree,1036 S Jackson St Seattle WA 98104,4.0,$20,1040,tamarind tree,1036 South Jackson St Suite A Seattle WA 98104,4.2,$35,61
539,539,793,121,home slice pizza,1415 S Congress St Austin TX 78704,4.5,$20,2681,home slice pizza,1415 S Congress Avenue Austin TX 78704,4.9,$30,142
540,540,794,1619,kanji ramen,12636 Research Blvd Austin TX 78759,4.0,$20,108,dimassi's mediterranean buffet,12636 Research Blvd Austin TX 78759,3.6,$30,20
541,541,796,346,the grove wine bar & kitchen,6317 Bee Caves Rd Austin TX 78746,4.0,$20,355,the grove wine bar & kitchen,6317 Bee Caves Road Austin TX 78746,4.1,$50,27
542,542,798,89,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,sino restaurant and lounge,377 Santana Row San Jose CA 95128,3.6,$40,12
543,543,798,104,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,village california,378 Santana Row San Jose CA 95128,3.9,$35,11
544,544,798,295,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,consuelo,377 Santana Row San Jose CA 95128,3.2,$120,9
545,545,798,355,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,pasta pomodoro,378 Santana Row San Jose CA 95128,3.4,$55,5
546,546,798,1045,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,fantasia,378 Santana Row San Jose CA 95128,3.4,$15,1
547,547,799,1366,vox table,1100 S Lamar Blvd Austin TX 78704,4.5,$45,314,alamo drafthouse,1120 S Lamar Blvd Austin TX 78704,3.8,$50,14
548,548,799,1708,vox table,1100 S Lamar Blvd Austin TX 78704,4.5,$45,314,the highball,1120 S Lamar Blvd Austin TX 78704,3.5,$45,11
549,549,799,2636,vox table,1100 S Lamar Blvd Austin TX 78704,4.5,$45,314,luke's inside out,1109 S Lamar Blvd Austin TX 78704,3.4,$30,6
550,550,800,141,eastside cafe,2113 Manor Rd Austin TX 78722,4.0,$20,806,eastside cafe,2113 Manor Road TX 78722,4.4,$50,42
551,551,801,741,fuji sushi,56 W Santa Clara St San Jose CA 95113,4.0,$20,824,fuji,56 W Santa Clara St San Jose CA 95113,3.4,$35,1
552,552,801,773,fuji sushi,56 W Santa Clara St San Jose CA 95113,4.0,$20,824,picasso's,62 W Santa Clara St San Jose CA 95113,3.6,$35,4
553,553,801,1991,fuji sushi,56 W Santa Clara St San Jose CA 95113,4.0,$20,824,city bagels,52 W Santa Clara St San Jose CA 95113,3.1,$20,2
554,554,802,2,falafel’s drive-in,2301 Stevens Creek Blvd San Jose CA 95128,4.0,$5,3614,falafel's drive-in,2301 Stevens Creek Blvd San Jose CA 95128,4.9,$20,44
555,555,806,1044,tomato thyme-willow glen,1560 Hamilton Ave San Jose CA 95125,3.5,$20,492,tomato thyme,1560 Hamilton Avenue San Jose CA 95125,3.8,$40,3
556,556,809,2664,el ranchon,3416 W McGraw St Seattle WA 98199,4.0,$20,103,el ranchon,3416 West McGraw St Seattle WA 98199,4.0,$30,10
557,557,810,794,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,mandoo bar,2 W 32nd St New York NY 10001,4.1,$30,28
558,558,810,1011,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,the kunjip,32 W 32nd St New York NY 10001,3.8,$80,23
559,559,810,1568,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,new wonjo,23 W 32nd St New York NY 10001,3.8,$60,25
560,560,810,2214,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,woorijip,12 W 32nd St New York NY 10001,3.9,$30,13
561,561,810,2277,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,bcd tofu house,5 W 32nd St New York NY 10001,3.7,$50,16
562,562,811,65,poppy,622 Broadway E Seattle WA 98102,4.0,$45,948,poppy,622 Broadway East Seattle WA 98102,4.0,$70,93
563,563,812,645,jack’s wife freda,50 Carmine St New York NY 10014,4.0,$20,337,joe's pizza,7 Carmine St New York NY 10014,4.2,$40,51
564,564,812,1689,jack’s wife freda,50 Carmine St New York NY 10014,4.0,$20,337,market table,54 Carmine St New York NY 10014,3.9,$80,20
565,565,813,2573,new sam kee ,1942 Aborn Rd San Jose CA 95121,4.0,$20,295,new sam kee,1942 Aborn Road San Jose CA 95121,-,$25,1
566,566,814,774,71 saint peter,71 N San Pedro St San Jose CA 95110,3.5,$20,330,71 saint peter,71 N San Pedro St San Jose CA 95110,3.7,$45,2
567,567,816,2343,jacob’s pickles,509 Amsterdam Ave New York NY 10024,4.0,$20,2368,jacob's pickles,509 Amsterdam Avenue New York NY 10024,4.1,$80,28
568,568,817,3241,habana outpost,757 Fulton St Brooklyn NY 11217,4.0,$20,807,habana outpost,757 Fulton St Brooklyn NY 11217,4.1,$30,16
569,569,820,637,pies-n-thighs,166 S 4th St Brooklyn NY 11211,4.0,$20,2165,pies 'n' thighs,166 S 4th St Brooklyn NY 11211,4.3,$50,58
570,570,821,1696,l.e.s kitchen,15 Essex St New York NY 10002,4.0,$5,224,essex,120 Essex St New York NY 10002,3.6,$80,27
571,571,821,2532,l.e.s kitchen,15 Essex St New York NY 10002,4.0,$5,224,shopsin's general store,120 Essex St New York NY 10002,3.6,$75,19
572,572,821,3150,l.e.s kitchen,15 Essex St New York NY 10002,4.0,$5,224,the masalawala,179 Essex St New York NY 10002,3.6,$60,22
573,573,826,102,the grill on the alley,172 S Market St San Jose CA 95113,3.5,$45,723,the grill on the alley,172 S Market St San Jose CA 95113,3.9,$75,8
574,574,830,89,fogo de chão brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,sino restaurant and lounge,377 Santana Row San Jose CA 95128,3.6,$40,12
575,575,830,104,fogo de chão brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,village california,378 Santana Row San Jose CA 95128,3.9,$35,11
576,576,830,295,fogo de chão brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,consuelo,377 Santana Row San Jose CA 95128,3.2,$120,9
577,577,830,355,fogo de chão brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,pasta pomodoro,378 Santana Row San Jose CA 95128,3.4,$55,5
578,578,830,1045,fogo de chão brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,fantasia,378 Santana Row San Jose CA 95128,3.4,$15,1
579,579,831,1046,erawan thai cuisine,5945 Almaden Expy San Jose CA 95120,4.0,$20,305,erawan thai cuisine,5945 South San Jose Expressway South San Jose San Jose CA 95120,3.6,$43,2
580,580,833,1654,tacos el compa taqueria,1321 Blossom Hill Road San Jose CA 95118,4.5,$5,131,cup n saucer family,1375 Blossom Hill Road San Jose CA 95118,3.5,$40,2
581,581,833,2375,tacos el compa taqueria,1321 Blossom Hill Road San Jose CA 95118,4.5,$5,131,senor taco,1375 Blossom Hill Road San Jose CA 95118,3.9,$35,2
582,582,833,2910,tacos el compa taqueria,1321 Blossom Hill Road San Jose CA 95118,4.5,$5,131,taco bell,1370 Blossom Hill Road San Jose CA 95118,2.6,$13,1
583,583,834,537,freemans,Freeman Aly New York NY 10002,4.0,$20,1651,freemans,8 Rivington St New York NY 10002,4.2,$110,30
584,584,837,1327,fette sau,354 Metropolitan Ave Brooklyn NY 11211,4.0,$20,1963,fette sau,354 Metropolitan Avenue Brooklyn NY 11211,4.5,$75,44
585,585,841,808,five leaves,18 Bedford Ave Brooklyn NY 11222,4.0,$20,1249,five leaves,18 Bedford Avenue Brooklyn NY 11222,4.2,$70,36
586,586,848,441,wink,1014 N Lamar Blvd Austin TX 78703,4.0,$45,673,wink,1014 N Lamar Blvd Suite E TX 78703,3.8,$180,28
587,587,849,124,abel’s on the lake,3825 Lake Austin Blvd Austin TX 78703,2.5,$20,402,hula hut,3825 Lake Austin Blvd Austin TX 78703,4.2,$50,80
588,588,849,1364,abel’s on the lake,3825 Lake Austin Blvd Austin TX 78703,2.5,$20,402,abel's on the lake,3825 Lake Austin Blvd Austin TX 78703,3.6,$70,31
589,589,851,325,banger’s sausage house & beer garden,79 & 81 Rainey St Austin TX 78701,4.0,$20,1343,banger's sausage house & beer garden,79 & 81 Rainey St Austin TX 78701,4.1,$40,41
590,590,852,1064,konjoe tei,387 S 1st St San Jose CA 95113,3.5,$20,315,good karma vegan cafe,37 S 1st St San Jose CA 95113,3.3,$13,3
591,591,854,21,aqui cal-mex,1145 Lincoln Ave San Jose CA 95125,4.0,$20,998,aqui,1145 Lincoln Avenue San Jose CA 95125,4.1,$60,2
592,592,858,297,arcadia,100 W San Carlos St San Jose CA 95113,3.5,$45,1078,arcadia,100 W San Carlos St CA 95113,3.8,$80,10
593,593,860,367,gojo ethiopian ,1261 W San Carlos St San Jose CA 95126,4.0,$20,402,gojo ethiopian,1261 W San Carlos St San Jose CA 95126,3.5,$80,7
594,594,862,625,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,ocho,2325 NW Market St Seattle WA 98107,4.2,$40,40
595,595,862,998,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,india bistro,2301 NW Market St Seattle WA 98107,3.8,$40,24
596,596,862,2450,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,pestle rock isan thai cuisine,2305 NW Market St Seattle WA 98107,3.6,$60,14
597,597,862,3120,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,palermo,2005 NW Market St Seattle WA 98107,3.3,$40,11
598,598,864,610,mamnoon,1508 Melrose Ave Seattle WA 98122,4.0,$20,576,mamnoon,1508 Melrose Avenue Seattle WA 98122,4.0,$50,37
599,599,866,390,ba bar,550 12th Ave Seattle WA 98122,3.5,$20,888,ba bar,550 12th Avenue Seattle WA 98122,3.6,$45,31
600,600,867,1757,mo & lu pasta,12518 Lake City Way NE Seattle WA 98125,4.5,$5,127,thai one on,12343 Lake City Way NE Seattle WA 98125,3.9,$30,27
601,601,867,1766,mo & lu pasta,12518 Lake City Way NE Seattle WA 98125,4.5,$5,127,toyoda sushi,12543 Lake City Way NE Seattle WA 98125,4.1,$55,12
602,602,867,2439,mo & lu pasta,12518 Lake City Way NE Seattle WA 98125,4.5,$5,127,elliott bay brewery & pub,12537 Lake City Way NE Seattle WA 98125,3.6,$30,14
603,603,867,2893,mo & lu pasta,12518 Lake City Way NE Seattle WA 98125,4.5,$5,127,breakfast club,12306 Lake City Way NE Seattle WA 98125,3.2,$30,15
604,604,869,1544,kona kitchen,8501 5th Ave NE Seattle WA 98115,4.0,$20,660,kona kitchen,8501 5th Avenue NE Seattle WA 98115,3.8,$40,15
605,605,873,1796,maison pickle,2313 Broadway New York NY 10024,4.0,$20,34,five napkin burger,2315 Broadway New York NY 10024,3.9,$70,31
606,606,876,431,reserve a table,173 Mott St New York NY 10013,4.0,$20,512,wo hop,17 Mott St New York NY 10013,4.3,$25,41
607,607,878,617,tango restaurant & lounge,1100 Pike St Seattle WA 98101,4.0,$20,637,tango restaurant & lounge,1100 Pike St Seattle WA 98101,4.0,$65,42
608,608,880,388,cactus restaurants,2820 Alki Ave SW Seattle WA 98116,4.0,$20,551,cactus,2820 Alki Avenue SW Seattle WA 98116,4.0,$40,31
609,609,882,1408,hilltop ale house,2129 Queen Anne Ave N Seattle WA 98109,4.0,$20,189,hilltop ale house,2129 Queen Anne Avenue North Seattle WA 98109,3.9,$45,15
610,610,883,992,mojito,7545 Lake City Way NE Seattle WA 98115,4.0,$20,441,mojito,7545 Lake City Way NE Seattle WA 98115,4.1,$35,28
611,611,883,994,mojito,7545 Lake City Way NE Seattle WA 98115,4.0,$20,441,chiang's gourmet,7845 Lake City Way NE Seattle WA 98115,3.9,$50,25
612,612,885,851,zocalo café,1110 W Lynn St Austin TX 78703,4.0,$20,419,zocalo cafe,1110 W Lynn St Austin TX 78703,4.0,$40,20
613,613,886,895,momiji,1522 12th Ave Seattle WA 98122,4.0,$20,862,momiji,1522 12th Avenue Seattle WA 98122,3.8,$70,18
614,614,887,1595,santorini cafe,11800 N Lamar Blvd Austin TX 78753,4.5,$20,438,santorini cafe,11800 N Lamar Blvd Austin TX 78753,3.3,$50,13
615,615,887,3174,santorini cafe,11800 N Lamar Blvd Austin TX 78753,4.5,$20,438,peace bakery and deli,11220 N Lamar Blvd Austin TX 78753,3.1,$30,4
616,616,888,848,de la terre supper club,306 E 53rd Austin TX 78751,5.0,$91,5,foreign & domestic,306 E 53rd St Austin TX 78751,3.8,$80,29
617,617,889,3164,mongers market + kitchen,2401 E Cesar Chavez Austin TX 78702,4.0,$20,168,mongers market and kitchen,2401 E Cesar Chavez St Austin TX 78702,3.4,$75,2
618,618,891,59,the pink door,1919 Post Aly Seattle WA 98101,4.0,$20,2561,pink door,Pike Place Market 1919 Post Alley Seattle WA 98101,4.4,$100,147
619,619,891,3112,the pink door,1919 Post Aly Seattle WA 98101,4.0,$20,2561,the pine box,1600 Melrose Avenue Seattle WA 98101,3.1,$55,6
620,620,892,864,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,the jackalope,404 E 6th St Austin TX 78701,3.6,$40,29
621,621,892,1117,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,b.d. riley's irish pub & ,204 E 6th St Austin TX 78701,3.6,$40,32
622,622,892,1444,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,chupacabra cantina,400 E 6th St Austin TX 78701,3.3,$45,21
623,623,892,1632,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15
624,624,892,1977,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,old school bar & grill,401 E 6th St Austin TX 78701,3.6,$20,20
625,625,894,846,lavaca teppan,1712 Lavaca St Austin TX 78701,4.0,$20,126,sushi junai,1612 Lavaca St Austin TX 78701,3.1,$45,4
626,626,894,1463,lavaca teppan,1712 Lavaca St Austin TX 78701,4.0,$20,126,el mercado,1702 Lavaca St Austin TX 78701,3.1,$40,7
